nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,19,20,0,0,54,162,random_walk,6,cluster
1,0,0,50,30,20,0,0,random_walk,6,cluster
2,20,0,20,0,20,0,0,random_walk,6,cluster
3,0,0,25,14,9,0,0,random_walk,6,cluster
4,0,0,20,11,6,0,0,random_walk,6,cluster
5,0,0,26,26,0,0,0,random_walk,6,cluster
6,0,0,12,9,0,0,0,random_walk,6,cluster
7,0,0,18,12,0,0,0,random_walk,6,cluster
8,0,0,16,13,0,0,0,random_walk,6,cluster
9,0,0,27,27,0,0,0,random_walk,6,cluster
10,0,0,15,14,0,0,0,random_walk,6,cluster
11,0,0,18,14,0,0,0,random_walk,6,cluster
12,0,0,20,16,0,0,0,random_walk,6,cluster
13,0,0,27,27,0,0,0,random_walk,6,cluster
14,0,0,17,17,0,0,0,random_walk,6,cluster
15,0,0,20,14,0,0,0,random_walk,6,cluster
16,0,0,16,14,0,0,0,random_walk,6,cluster
17,0,0,24,24,0,0,0,random_walk,6,cluster
18,0,0,18,14,0,0,0,random_walk,6,cluster
19,0,0,15,13,0,0,0,random_walk,6,cluster
20,0,0,15,12,0,0,0,random_walk,6,cluster
21,0,0,28,28,0,0,0,random_walk,6,cluster
22,0,0,15,12,0,0,0,random_walk,6,cluster
23,0,0,16,11,0,0,0,random_walk,6,cluster
24,0,0,19,14,0,0,0,random_walk,6,cluster
